theta, v
0, 64.86486486486478
7.680525164113789, 104.50450450450444
17.92122538293217, 142.34234234234225
25.60175054704596, 189.18918918918916
34.07002188183808, 234.23423423423424
41.159737417943106, 295.4954954954955
47.658643326039396, 378.3783783783784
52.778993435448584, 459.4594594594595
57.899343544857786, 544.1441441441442
61.83807439824946, 605.4054054054054
67.746170678337, 650.4504504504505
74.04814004376368, 655.8558558558559
82.31947483588624, 650.4504504504505
90.19693654266959, 646.8468468468468
