theta, dMdOmega
0,0.10653409090909200
2.72727272727273,0.10653409090909200
7.402597402597400,0.1562500000000010
12.467532467532500,0.14204545454545500
17.53246753246750,0.16335227272727300
22.597402597402600,0.2698863636363640
27.662337662337700,0.3551136363636370
32.532467532467500,0.5042613636363640
37.597402597402600,0.5823863636363640
42.467532467532500,1.0440340909090900
47.532467532467500,1.6832386363636400
52.40259740259740,2.556818181818180
57.85714285714290,2.4005681818181800
62.727272727272700,2.720170454545460
67.7922077922078,2.1306818181818200
72.46753246753250,2.095170454545460
77.53246753246750,2.0241477272727300
82.5974025974026,1.7968750000000000
90,1.0085227272727300
