major_axis_offset_arcsec,minor_axis_integrated_flux_jy_per_arcsec
-9.05,0.0
-8.95,4.514301088010997
-8.850000000000001,17.298498286832043
-8.75,41.792059092090646
-8.650000000000002,65.3987768077906
-8.55,104.9387053210546
-8.450000000000003,120.34036229434591
-8.350000000000001,158.55443292102478
-8.250000000000004,197.5823911546316
-8.150000000000002,241.41529341162993
-8.050000000000004,274.8670326060569
-7.950000000000004,338.3002249758126
-7.850000000000004,412.5642998060045
-7.750000000000004,479.55816895443974
-7.650000000000005,521.2010646312036
-7.550000000000005,596.0080044150401
-7.4500000000000055,678.4272883642519
-7.350000000000006,733.3767025349838
-7.250000000000006,809.1113272943073
-7.150000000000007,796.2721436637099
-7.050000000000007,815.9400671616294
-6.950000000000007,841.5636194325789
-6.850000000000008,941.8222597475857
-6.750000000000008,997.1249100011404
-6.650000000000008,1100.8589273056355
-6.550000000000009,1197.8339604632513
-6.450000000000009,1327.7993009542981
-6.350000000000009,1405.9894538959957
-6.25000000000001,1584.2280461183589
-6.15000000000001,1612.5023740123913
-6.0500000000000105,1648.9585266581971
-5.950000000000011,1678.37577802119
-5.850000000000011,1710.163091172423
-5.7500000000000115,1735.7365577087437
-5.650000000000012,1771.9100009646281
-5.550000000000012,1835.6863380338584
-5.450000000000013,1889.6939588031432
-5.350000000000013,2005.8977882881507
-5.250000000000013,2143.052654023489
-5.150000000000014,2312.583757808965
-5.050000000000014,2515.999381020115
-4.950000000000014,2725.3210314429457
-4.850000000000015,2996.4854269729053
-4.750000000000015,3194.1397626606454
-4.6500000000000155,3428.264919332017
-4.550000000000016,3652.1693179215204
-4.450000000000016,3950.3435729139214
-4.3500000000000165,4229.217462241065
-4.250000000000017,4472.312693657775
-4.150000000000017,4811.77541607697
-4.050000000000018,5088.82891488217
-3.950000000000018,5349.357058984961
-3.8500000000000183,5530.065390721667
-3.7500000000000187,5784.6534031949
-3.650000000000019,6062.869371349774
-3.5500000000000194,6360.54992703956
-3.4500000000000197,6684.581797305587
-3.35000000000002,7008.385576312364
-3.2500000000000204,7291.500086526074
-3.150000000000021,7746.133595620313
-3.050000000000021,8116.953151527552
-2.9500000000000215,8388.472445589297
-2.850000000000022,8641.812698699863
-2.750000000000022,8859.373432060669
-2.6500000000000226,9090.694599205814
-2.550000000000023,9271.708541054973
-2.4500000000000233,9276.44360288679
-2.3500000000000236,9420.463229430494
-2.250000000000024,9620.459736884148
-2.1500000000000243,9794.339386279133
-2.0500000000000247,9820.94410855723
-1.950000000000025,9933.253895832711
-1.8500000000000254,10014.064344846847
-1.7500000000000258,10102.044210431268
-1.6500000000000261,10117.345824876757
-1.5500000000000265,10306.4846504464
-1.4500000000000268,10452.801340898259
-1.3500000000000272,10702.420580374202
-1.2500000000000275,10932.689053247961
-1.1500000000000279,11193.32799006694
-1.0500000000000282,11469.797443985703
-0.9500000000000286,11619.93880672188
-0.850000000000029,11733.115607494734
-0.7500000000000293,11808.114600101295
-0.6500000000000297,11762.862063175822
-0.55000000000003,11876.379756754292
-0.4500000000000304,11891.392166069023
-0.35000000000003073,11914.507925799231
-0.2500000000000311,11956.107426180866
